in s,C1 in V
-5.97876E-05,-2.49023E-04
-5.97864E-05,-1.02539E-04
-5.97852E-05,-9.27734E-05
-5.97840E-05,-1.80664E-04
-5.97828E-05,-1.61133E-04
-5.97816E-05,-1.41602E-04
-5.97804E-05,-1.80664E-04
-5.97792E-05,-1.80664E-04
-5.97780E-05,-1.90430E-04
-5.97768E-05,-1.51367E-04
-5.97756E-05,-7.32422E-05
-5.97744E-05,-2.88086E-04
-5.97732E-05,-1.61133E-04
-5.97720E-05,-2.09961E-04
-5.97708E-05,-2.09961E-04
-5.97696E-05,-1.80664E-04
-5.97684E-05,-1.02539E-04
-5.97672E-05,-1.22070E-04
-5.97660E-05,-2.58789E-04
-5.97648E-05,-2.00195E-04
-5.97636E-05,-1.31836E-04
-5.97624E-05,-1.31836E-04
-5.97612E-05,-8.30078E-05
-5.97600E-05,-1.90430E-04
-5.97588E-05,-2.19727E-04
-5.97576E-05,-2.09961E-04
-5.97564E-05,-1.41602E-04
-5.97552E-05,-1.70898E-04
-5.97540E-05,-2.29492E-04
-5.97528E-05,-1.61133E-04
-5.97516E-05,-2.29492E-04
-5.97504E-05,-2.39258E-04
-5.97492E-05,-1.90430E-04
-5.97480E-05,-9.27734E-05
-5.97468E-05,-1.61133E-04
-5.97456E-05,-4.39453E-05
-5.97444E-05,-1.70898E-04
-5.97432E-05,-6.34766E-05
-5.97420E-05,-2.78320E-04
-5.97408E-05,-1.90430E-04
-5.97396E-05,-1.51367E-04
-5.97384E-05,-1.12305E-04
-5.97372E-05,-1.12305E-04
-5.97360E-05,-1.70898E-04
-5.97348E-05,-1.02539E-04
-5.97336E-05,-1.22070E-04
-5.97324E-05,-1.41602E-04
-5.97312E-05,-3.07617E-04
-5.97300E-05,-2.29492E-04
-5.97288E-05,-2.49023E-04
-5.97276E-05,-2.58789E-04
-5.97264E-05,-1.31836E-04
-5.97252E-05,-5.37109E-05
-5.97240E-05,-1.70898E-04
-5.97228E-05,-1.90430E-04
-5.97216E-05,-1.02539E-04
-5.97204E-05,-6.34766E-05
-5.97192E-05,-7.32422E-05
-5.97180E-05,-2.29492E-04
-5.97168E-05,-1.12305E-04
-5.97156E-05,-1.51367E-04
-5.97144E-05,-2.58789E-04
-5.97132E-05,-1.41602E-04
-5.97120E-05,-1.02539E-04
-5.97108E-05,-5.37109E-05
-5.97096E-05,-2.49023E-04
-5.97084E-05,-1.22070E-04
-5.97072E-05,-2.39258E-04
-5.97060E-05,-1.22070E-04
-5.97048E-05,-3.41797E-05
-5.97036E-05,-1.51367E-04
-5.97024E-05,-1.51367E-04
-5.97012E-05,-1.61133E-04
-5.97000E-05,-2.88086E-04
-5.96988E-05,-7.32422E-05
-5.96976E-05,-3.07617E-04
-5.96964E-05,-2.68555E-04
-5.96952E-05,-1.70898E-04
-5.96940E-05,-2.49023E-04
-5.96928E-05,-3.46680E-04
-5.96916E-05,-2.19727E-04
-5.96904E-05,-2.97852E-04
-5.96892E-05,-2.00195E-04
-5.96880E-05,-1.41602E-04
-5.96868E-05,-1.51367E-04
-5.96856E-05,-8.30078E-05
-5.96844E-05,-2.78320E-04
-5.96832E-05,-2.49023E-04
-5.96820E-05,-2.09961E-04
-5.96808E-05,-2.68555E-04
-5.96796E-05,-1.80664E-04
-5.96784E-05,-2.19727E-04
-5.96772E-05,-2.49023E-04
-5.96760E-05,-1.31836E-04
-5.96748E-05,-1.12305E-04
-5.96736E-05,-7.32422E-05
-5.96724E-05,-6.34766E-05
-5.96712E-05,-1.90430E-04
-5.96700E-05,-3.36914E-04
-5.96688E-05,-1.22070E-04
-5.96676E-05,-1.41602E-04
-5.96664E-05,-1.22070E-04
-5.96652E-05,-2.49023E-04
-5.96640E-05,-1.61133E-04
-5.96628E-05,-1.22070E-04
-5.96616E-05,-5.37109E-05
-5.96604E-05,-1.12305E-04
-5.96592E-05,-1.80664E-04
-5.96580E-05,-9.27734E-05
-5.96568E-05,-1.70898E-04
-5.96556E-05,-1.90430E-04
-5.96544E-05,-1.70898E-04
-5.96532E-05,-1.51367E-04
-5.96520E-05,-1.61133E-04
-5.96508E-05,-1.12305E-04
-5.96496E-05,-2.68555E-04
-5.96484E-05,-6.34766E-05
-5.96472E-05,-1.80664E-04
-5.96460E-05,-3.17383E-04
-5.96448E-05,-2.49023E-04
-5.96436E-05,-1.41602E-04
-5.96424E-05,-2.09961E-04
-5.96412E-05,-1.80664E-04
-5.96400E-05,-2.00195E-04
-5.96388E-05,-1.61133E-04
-5.96376E-05,-1.41602E-04
-5.96364E-05,-1.80664E-04
-5.96352E-05,-1.61133E-04
-5.96340E-05,-2.49023E-04
-5.96328E-05,-5.37109E-05
-5.96316E-05,-7.32422E-05
-5.96304E-05,-2.29492E-04
-5.96292E-05,-1.61133E-04
-5.96280E-05,-2.88086E-04
-5.96268E-05,-2.88086E-04
-5.96256E-05,-2.88086E-04
-5.96244E-05,-1.61133E-04
-5.96232E-05,-2.97852E-04
-5.96220E-05,-1.80664E-04
-5.96208E-05,-1.41602E-04
-5.96196E-05,-1.41602E-04
-5.96184E-05,-1.51367E-04
-5.96172E-05,-2.29492E-04
-5.96160E-05,-1.90430E-04
-5.96148E-05,-1.41602E-04
-5.96136E-05,-3.07617E-04
-5.96124E-05,-5.37109E-05
-5.96112E-05,-1.41602E-04
-5.96100E-05,-2.44141E-05
-5.96088E-05,-2.88086E-04
-5.96076E-05,-1.41602E-04
-5.96064E-05,-2.39258E-04
-5.96052E-05,-2.78320E-04
-5.96040E-05,-2.68555E-04
-5.96028E-05,-2.88086E-04
-5.96016E-05,-1.41602E-04
-5.96004E-05,-1.90430E-04
-5.95992E-05,-8.30078E-05
